Bus interchange,bus_code,No. of services,postal,address,latitude,longtitude
Woodlands Temporary Bus Interchange,46009,43,737735,3A WOODLANDS SQUARE WOODLANDS TEMPORARY BUS INTERCHANGE SINGAPORE 737735,1.437317502,103.78587840000002
Bedok Bus Interchange,84009,39,465492,12 BEDOK NORTH DRIVE OCBC BEDOK BUS INTERCHANGE SINGAPORE 465492,1.324772074,103.9292677
Tampines Bus Interchange,75009,35,520512,512 TAMPINES CENTRAL 1 TAMPINES BUS INTERCHANGE SINGAPORE 520512,1.3540478480000002,103.9433308
Boon Lay Bus Interchange,22009,32,648331,63 JURONG WEST CENTRAL 3 BOON LAY BUS INTERCHANGE SINGAPORE 648331,1.33936403,103.7053082
Jurong East Bus Interchange,28009,32,608548,60 JURONG GATEWAY ROAD UOB JURONG EAST TEMPORARY BUS INTERCHANGE SINGAPORE 608548,1.33364061,103.7416012
Yishun Bus Interchange,59009,29,769100,920 YISHUN AVENUE 2 YISHUN BUS INTERCHANGE SINGAPORE 769100,1.4278664209999998,103.83614370000001
Hougang Central Bus Interchange,64009,25,538757,840 HOUGANG CENTRAL HOUGANG CENTRAL BUS INTERCHANGE SINGAPORE 538757,1.370937164,103.8930691
Ang Mo Kio Bus Interchange,54009,23,567751,57 ANG MO KIO AVENUE 8 ANG MO KIO BUS INTERCHANGE SINGAPORE 567751,1.3694849390000001,103.8483947
Punggol Bus Interchange,65009,23,828865,70A PUNGGOL PLACE PUNGGOL BUS INTERCHANGE SINGAPORE 828865,1.403982754,103.90213370000001
Toa Payoh Bus Interchange,52009,23,310530,530 LORONG 6 TOA PAYOH TOA PAYOH BUS INTERCHANGE SINGAPORE 310530,1.332069033,103.84713359999999
Choa Chu Kang Bus Interchange,44009,22,689688,70 CHOA CHU KANG LOOP CHOA CHU KANG BUS INTERCHANGE SINGAPORE 689688,1.385555163,103.7452615
Pasir Ris Bus Interchange,77009,19,519490,501 PASIR RIS DRIVE 3 PASIR RIS BUS INTERCHANGE SINGAPORE 519490,1.3735855940000001,103.9498274
Bukit Batok Bus Interchange,43009,17,650631,631 BUKIT BATOK CENTRAL BUKIT BATOK BUS INTERCHANGE SINGAPORE 650631,1.3498740619999998,103.750815
Clementi Bus Interchange,17009,16,120441,441 COMMONWEALTH AVENUE WEST CLEMENTI BUS INTERCHANGE SINGAPORE 120441,1.3150083320000001,103.7641978
Bukit Merah Bus Interchange,10009,15,159840,3591 BUKIT MERAH CENTRAL BUKIT MERAH BUS INTERCHANGE SINGAPORE 159840,1.2820447670000001,103.8172113
Sembawang Bus Interchange,58009,14,757527,11A SEMBAWANG VISTA SEMBAWANG BUS INTERCHANGE SINGAPORE 757527,1.4477755319999999,103.8195531
Bukit Panjang Bus Interchange,45009,13,678270,15 PETIR ROAD OCBC BUKIT PANJANG BUS INTERCHANGE SINGAPORE 678270,1.378307556,103.76302170000001
Sengkang Bus Interchange,67009,13,545077,13 SENGKANG SQUARE SENGKANG BUS INTERCHANGE SINGAPORE 545077,1.391675328,103.8959932
Yio Chu Kang Bus Interchange,55509,13,567728,3002 ANG MO KIO AVENUE 8 YIO CHU KANG BUS INTERCHANGE SINGAPORE 567728,1.3827927919999998,103.8448302
Bishan Bus Interchange,53009,12,570514,514 BISHAN STREET 13 BISHAN BUS INTERCHANGE SINGAPORE 570514,1.35074257,103.84989420000001
Eunos Bus Interchange,82009,11,409388,409 EUNOS ROAD 2 EUNOS BUS INTERCHANGE SINGAPORE 409388,1.319353675,103.901989
HarbourFront Bus Interchange,14009,10,099115,4 SEAH IM ROAD OCBC HARBOURFRONT BUS INTERCHANGE SINGAPORE 099115,1.266874838,103.8192041
Serangoon Bus Interchange,66009,10,556138,20 SERANGOON AVENUE 2 SERANGOON BUS INTERCHANGE SINGAPORE 556138,1.3505732209999999,103.87225059999999
Joo Koon Bus Interchange,24009,9,629117,1 JOO KOON CIRCLE JOO KOON BUS INTERCHANGE SINGAPORE 629117,1.327161861,103.6782793
Tampines Concourse Bus Interchange,75019,4,528730,10A TAMPINES CONCOURSE TAMPINES CONCOURSE BUS INTERCHANGE SINGAPORE 528730,1.3572716830000002,103.94170550000001
Compassvale Bus Interchange,67759,2,544760,51A COMPASSVALE ROAD COMPASSVALE BUS INTERCHANGE SINGAPORE 544760,1.391089442,103.8972022
