centre_name,centre_code,centre_address,postal_code,postal,address,latitude,longtitude
JAMIYAH KINDERGARTEN,RC1865,"31,LORONG 12 GEYLANG,#03JAMIYAH,399006",399006,399006,31 LORONG 12 GEYLANG JAMIYAH ISLAMIC CENTRE SINGAPORE 399006,1.310381851,103.8787866
Zion Bishan Kindergarten,RC1866,"4,BISHAN STREET 13,ZION BISHAN BIBLE PRESBYTERIAN CHURCH,579792",579792,579792,4 BISHAN STREET 13 ZION BISHAN BIBLE PRESBYTERIAN CHURCH SINGAPORE 579792,1.3470906669999998,103.8548784
PCF SPARKLETOTS PRESCHOOL @ TANJONG PAGAR - TIONG BAHRU BLK 125 (CC),ST0163,"125,KIM TIAN ROAD,#01-88,160125",160125,160125,125 KIM TIAN ROAD HDB-BUKIT MERAH SINGAPORE 160125,1.283634676,103.8281281
Charis Montessori @ Elim,PT9741,"1079,SERANGOON ROAD,ELIM CHURCH,328182",328182,328182,1079 SERANGOON ROAD ELIM CHURCH SINGAPORE 328182,1.323728766,103.8646264
Camelot at River Valley,PT9721,"80,KIM SENG ROAD,#01-08,MIRAGE TOWER,239426",239426,239426,80 KIM SENG ROAD MIRAGE TOWER SINGAPORE 239426,1.291981118,103.8342619
LITTLE KINDER MONTESSORI LLP,PT9121,"55,CHU LIN ROAD,BAMBOO GROVE PARK ,669949",669949,669949,55 CHU LIN ROAD HILLVIEW GARDEN ESTATE SINGAPORE 669949,1.35752686,103.75850729999999
SUNFLOWER PRESCHOOL @ NSE PTE. LTD.,PT9192,"1,YISHUN AVENUE 9,#02-04,NEE SOON EAST COMMUNITY CLUB,768893",768893,768893,1 YISHUN AVENUE 9 SUNFLOWER PRESCHOOL @ NSE PTE. LTD. SINGAPORE 768893,1.431020867,103.83848809999999
Paper Scissors Stone Montessori Kindergarten (Bedok Resevoir Branch),PT9612,"718,BEDOK RESERVOIR ROAD,#01-4590,470718",470718,470718,718 BEDOK RESERVOIR ROAD BEDOK RESERVOIR GARDEN SINGAPORE 470718,1.336630599,103.9257485
KIDS EVERLAND HOUSE PTE. LTD.,PT9462,"50,GAMBAS CRESCENT,#01-25,PROXIMA@GAMBAS,757022",757022,757022,50 GAMBAS CRESCENT PROXIMA@GAMBAS SINGAPORE 757022,1.441945939,103.8179151
YWCA MCNAIR ROAD CHILD DEVELOPMENT CENTRE,YW0040,"7,MCNAIR ROAD,328516",328516,328516,7 MCNAIR ROAD SINGAPORE 328516,1.318612408,103.8560949
YWCA BISHAN CHILD DEVELOPMENT CENTRE,YW0120,"185,BISHAN ST 13,#01-323,570185",570185,570185,185 BISHAN STREET 13 HDB-BISHAN SINGAPORE 570185,1.3497620190000001,103.8524727
Clementi Woods Kindergarten LLP,PT9667,"152,WEST COAST ROAD,Clementi Bible Centre,127370",127370,127370,152 WEST COAST ROAD MOUNT CARMEL BIBLE PRESBYTERIAN CHURCH SINGAPORE 127370,1.3027333620000001,103.76584079999999
WESLEY VINEYARD CHILDCARE LTD.,RC1772,"44,LORONG 5 TOA PAYOH,#01-117,310044",310044,310044,44 LORONG 5 TOA PAYOH EAST PAYOH SPRING SINGAPORE 310044,1.336231496,103.8540431
Living Sanctuary Kindergarten,PT9593,"2,HOUGANG STREET 22,538728",538728,538728,2 HOUGANG STREET 22 LIVING SANCTUARY KINDERGARTEN SINGAPORE 538728,1.3559878369999998,103.8914006
MAPLEBEAR LEARNING SCHOOLHOUSE PTE LTD,PT9506,"5,HARPER ROAD,#01-02,Harper,369673",369673,369673,5 HARPER ROAD DIAMOND INDUSTRIES BUILDING SINGAPORE 369673,1.3343553879999999,103.8882127
SUNFLOWER PRESCHOOL @ MINDEF PTE. LTD.,PT9458,"5,DEPOT ROAD,DEFENCE TECHNOLOGY BUILDING,109681",109681,109681,5 DEPOT ROAD DBS DEFENCE TECHNOLOGY TOWER SINGAPORE 109681,1.280316925,103.8141713
LEARNING VISION @ WORK PTE. LTD.,PT9194,"131,RIFLE RANGE ROAD,#03-01,TEMASEK CLUB,588406",588406,588406,131 RIFLE RANGE ROAD TEMASEK CLUB SINGAPORE 588406,1.3463923519999998,103.7807642
AGAPE LITTLE UNI. PTE. LTD.,PT8405,"401,Commonwealth Drive,#02-01,Haw Par Technocentre,149598",149598,149598,401 COMMONWEALTH DRIVE AGAPE LITTLE UNI. PTE. LTD. SINGAPORE 149598,1.3030555129999999,103.79648320000001
STAR LEARNERS @ BISHAN PTE. LTD.,PT8783,"114,BISHAN STREET 12,#01-96,BISHAN VIEW,570114",570114,570114,114 BISHAN STREET 12 BISHAN VIEW SINGAPORE 570114,1.347549415,103.8488805
LORNA WHISTON PRE-SCHOOL,PT8690,"1,STADIUM PLACE,#01-24,KALLANG WAVE MALL,397628",397628,397628,1 STADIUM PLACE OCBC KALLANG WAVE - FAIRPRICE SINGAPORE 397628,1.303071576,103.87304470000001
TWINKLEKIDZ ACADEMY PTE. LTD.,PT8907,"118,FIDELIO STREET,OPERA ESTATE,458493",458493,458493,118 FIDELIO STREET OPERA ESTATE SINGAPORE 458493,1.319768568,103.921357
CHERIE HEARTS @ CHANGI BUSINESS PARK PTE. LTD.,PT8651,"1,CHANGI BUSINESS PARK CRESCENT,#01-01,486025",486025,486025,1 CHANGI BUSINESS PARK CRESCENT JOSIAH MONTESSORI KINDER-CARE SINGAPORE 486025,1.333601586,103.9654119
CHILDREN'S COVE PRESCHOOL PTE.LTD.,PT9390,"58,JALAN PENJARA,149382",149382,149382,58 JALAN PENJARA SINGAPORE 149382,1.2993328659999999,103.80716600000001
SKOOL4KIDZ CENTRE,SK0016,"365,SEMBAWANG CRESCENT,#01-11,MULTI STOREY CAR PARK,750365",750365,750365,365 SEMBAWANG CRESCENT SUN BREEZE SINGAPORE 750365,1.444368326,103.81626390000001
MY FIRST SKOOL,NT0558,"756,JURONG WEST STREET 74 ,#01-68,640756",640756,640756,756 JURONG WEST STREET 74 HDB-JURONG WEST SINGAPORE 640756,1.3493267569999998,103.7007218
JUNIOR CHAMPS EDUCAMPUS PTE LTD,PT9363,"18,TAI SENG STREET,#02-02,18 TAI SENG,539775",539775,539775,18 TAI SENG STREET 18 TAI SENG SINGAPORE 539775,1.336538681,103.8887627
