school_name,address,postal_code,mainlevel_code,postal,latitude,longtitude
NATIONAL JUNIOR COLLEGE,37 HILLCREST ROAD NATIONAL JUNIOR COLLEGE SINGAPORE 288913,288913,MIXED LEVEL,288913,1.330429928,103.80445870000001
TEMASEK JUNIOR COLLEGE,22 BEDOK SOUTH ROAD TEMASEK JUNIOR COLLEGE SINGAPORE 469278,469278,MIXED LEVEL,469278,1.318461906,103.935598
VICTORIA JUNIOR COLLEGE,20 MARINE VISTA VICTORIA JUNIOR COLLEGE SINGAPORE 449035,449035,JUNIOR COLLEGE,449035,1.305717965,103.919531
EUNOIA JUNIOR COLLEGE,53 MOUNT SINAI ROAD SINGAPORE 276880,276880,JUNIOR COLLEGE,276880,1.313522125,103.7870186
ANDERSON SERANGOON JUNIOR COLLEGE,4500 ANG MO KIO AVENUE 6 ANDERSON SERANGOON JUNIOR COLLEGE SINGAPORE 569843,569843,JUNIOR COLLEGE,569843,1.37839671,103.845886
YISHUN INNOVA JUNIOR COLLEGE,3 YISHUN RING ROAD YISHUN INNOVA JUNIOR COLLEGE SINGAPORE 768675,768675,JUNIOR COLLEGE,768675,1.424618845,103.8296344
TAMPINES MERIDIAN JUNIOR COLLEGE,21 PASIR RIS STREET 71 TAMPINES MERIDIAN JUNIOR COLLEGE SINGAPORE 518799,518799,JUNIOR COLLEGE,518799,1.376741929,103.93755329999999
JURONG PIONEER JUNIOR COLLEGE,21 TECK WHYE WALK JURONG PIONEER JUNIOR COLLEGE SINGAPORE 688258,688258,JUNIOR COLLEGE,688258,1.384609491,103.7539328
CATHOLIC JUNIOR COLLEGE,129 WHITLEY ROAD CATHOLIC JUNIOR COLLEGE SINGAPORE 297822,297822,JUNIOR COLLEGE,297822,1.324648771,103.83555140000001
ANGLO-CHINESE JUNIOR COLLEGE,25 DOVER CLOSE EAST ANGLO-CHINESE JUNIOR COLLEGE SINGAPORE 139745,139745,JUNIOR COLLEGE,139745,1.303287954,103.785263
ST. ANDREW'S JUNIOR COLLEGE,5 SORBY ADAMS DRIVE SAINT ANDREW'S JUNIOR COLLEGE SINGAPORE 357691,357691,JUNIOR COLLEGE,357691,1.332788888,103.86348129999999
NANYANG JUNIOR COLLEGE,128 SERANGOON AVENUE 3 NANYANG JUNIOR COLLEGE SINGAPORE 556111,556111,JUNIOR COLLEGE,556111,1.350283149,103.86649870000001
HWA CHONG INSTITUTION,661 BUKIT TIMAH ROAD HWA CHONG INSTITUTION (SCIENCE RESEARCH CENTRE) SINGAPORE 269734,269734,MIXED LEVEL,269734,1.325139595,103.8045131
MILLENNIA INSTITUTE,60 BUKIT BATOK WEST AVENUE 8 MILLENNIA INSTITUTE SINGAPORE 658965,658965,CENTRALISED INSTITUTE,658965,1.350319296,103.7415936
BUKIT PANJANG PRIMARY SCHOOL,109 CASHEW ROAD BUKIT PANJANG PRIMARY SCHOOL SINGAPORE 679676,679676,PRIMARY,679676,1.373472192,103.7693175
HAIG GIRLS' SCHOOL,51 KOON SENG ROAD HAIG GIRLS' SCHOOL (U/C) SINGAPORE 427072,427072,PRIMARY,427072,1.3115391140000001,103.9033936
